Type,Unique ID,ID,Name,Begin Time,End Time,Life Time,
"Thread",137,15144,"Unknown","1.857,30","17.611,08","15.753,78",
"Thread",138,1048,"Unknown","1.857,37","17.611,08","15.753,71",
"Thread",139,13808,"Unknown","1.858,17","17.611,08","15.752,91",
"Thread",140,8776,"Unknown","1.858,27","17.611,08","15.752,81",
"Thread",141,11912,"Unknown","1.875,00","17.611,08","15.736,08",
"Thread",142,13300,"Unknown","1.875,14","17.611,08","15.735,94",
"Thread",143,8320,"Unknown","1.918,78","17.650,10","15.731,32",
"Thread",144,7296,"Unknown","1.930,71","17.611,08","15.680,37",
"Thread",145,9712,"Unknown","1.949,91","17.611,08","15.661,17",
"Thread",146,8704,"Unknown","2.003,24","17.650,10","15.646,86",
"Thread",147,6596,"Unknown","2.007,81","17.611,08","15.603,28",
"Thread",148,8276,"Unknown","2.010,82","17.611,08","15.600,26",
"Thread",149,5904,"Unknown","2.011,92","17.611,08","15.599,17",
"Thread",150,2248,"Unknown","2.017,33","17.650,10","15.632,77",
"Thread",151,6076,"Unknown","2.054,19","17.650,10","15.595,91",
"Thread",152,1616,"Unknown","2.109,15","17.611,08","15.501,93",
"Thread",153,4032,"Unknown","2.109,51","17.611,09","15.501,57",
"Thread",154,204,"Unknown","2.778,45","17.611,09","14.832,64",
"Thread",155,11556,"Unknown","2.778,58","17.611,09","14.832,51",
"Thread",156,11172,"Unknown","2.780,60","17.611,09","14.830,49",
"Thread",157,14016,"Unknown","2.780,67","17.611,09","14.830,41",
"Thread",158,12636,"Unknown","2.781,20","17.611,09","14.829,89",
"Thread",159,1856,"Unknown","2.781,26","17.611,09","14.829,83",
"Thread",160,4352,"Unknown","2.781,92","17.611,09","14.829,17",
"Thread",161,13628,"Unknown","2.782,00","17.611,09","14.829,09",
"Thread",162,6652,"Unknown","2.782,72","17.611,09","14.828,37",
"Thread",163,4480,"Unknown","2.782,79","17.611,09","14.828,30",
"Thread",164,5556,"Unknown","3.014,68","17.611,09","14.596,41",
